*YYYYMMDD HHMMSS JJJJJ.JJJJ         X             Y             Z            Sx        Sy       Sz     Rxy   Rxz    Ryz            NLat         Elong         Height         dN        dE        dU         Sn       Se       Su      Rne    Rnu    Reu  Soln
 20010422 120000 52021.5000 -2485778.31646 -3284087.07017  4853826.81627  0.00353  0.00450  0.00526  0.844 -0.802 -0.841      49.8730532297  232.8773352555  164.68968    -0.03319  -0.04359  -0.03103    0.00217  0.00155  0.00730  0.003 -0.338  0.015 repro
 20010423 120000 52022.5000 -2485778.31468 -3284087.06784  4853826.81549  0.00323  0.00412  0.00487  0.830 -0.783 -0.834      49.8730532453  232.8773352557  164.68719    -0.03145  -0.04357  -0.03351    0.00202  0.00148  0.00669  0.027 -0.306  0.028 repro
 20010424 120000 52023.5000 -2485778.31632 -3284087.07115  4853826.81781  0.00339  0.00429  0.00496  0.838 -0.793 -0.842      49.8730532338  232.8773352653  164.69131    -0.03273  -0.04288  -0.02940    0.00208  0.00151  0.00693  0.032 -0.356  0.015 repro
 20010425 120000 52024.5000 -2485778.31714 -3284087.07326  4853826.81980  0.00303  0.00387  0.00450  0.837 -0.793 -0.837      49.8730532304  232.8773352739  164.69423    -0.03312  -0.04227  -0.02648    0.00188  0.00136  0.00625  0.010 -0.338  0.024 repro
 20010426 120000 52025.5000 -2485778.31527 -3284087.06861  4853826.81552  0.00333  0.00426  0.00487  0.840 -0.801 -0.847      49.8730532388  232.8773352557  164.68784    -0.03218  -0.04358  -0.03286    0.00203  0.00148  0.00683  0.008 -0.376  0.032 repro
 20010427 120000 52026.5000 -2485778.31511 -3284087.06813  4853826.81517  0.00336  0.00431  0.00495  0.843 -0.803 -0.849      49.8730532401  232.8773352534  164.68726    -0.03204  -0.04374  -0.03344    0.00204  0.00148  0.00693  0.010 -0.370  0.033 repro
 20010428 120000 52027.5000 -2485778.31842 -3284087.07233  4853826.81706  0.00333  0.00431  0.00488  0.845 -0.799 -0.843      49.8730532143  232.8773352519  164.69215    -0.03491  -0.04384  -0.02855    0.00207  0.00147  0.00686 -0.006 -0.381  0.049 repro
 20010429 120000 52028.5000 -2485778.32148 -3284087.07514  4853826.82059  0.00346  0.00446  0.00511  0.844 -0.801 -0.845      49.8730532066  232.8773352416  164.69749    -0.03576  -0.04459  -0.02322    0.00213  0.00152  0.00715  0.003 -0.367  0.039 repro
 20010430 120000 52029.5000 -2485778.31849 -3284087.07237  4853826.81657  0.00371  0.00464  0.00546  0.831 -0.794 -0.838      49.8730532109  232.8773352515  164.69182    -0.03528  -0.04388  -0.02888    0.00225  0.00168  0.00756  0.029 -0.331 -0.008 repro
 20010501 120000 52030.5000 -2485778.31594 -3284087.06981  4853826.81383  0.00321  0.00415  0.00478  0.841 -0.800 -0.843      49.8730532196  232.8773352582  164.68742    -0.03431  -0.04339  -0.03328    0.00198  0.00143  0.00666 -0.006 -0.354  0.044 repro
