*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20010321,120000,51989.5,-2485778.309,-3284087.061,4853826.803,0.00452,0.00638,0.00762,0.886,-0.839,-0.878,49.87305323,232.8773353,164.67159,-0.03299,-0.04286,-0.04912,0.00268,0.0018,0.01043,-0.079,-0.298,0.211,repro
20010324,120000,51992.5,-2485778.317,-3284087.068,4853826.814,0.0032,0.00405,0.00487,0.83,-0.781,-0.826,49.87305323,232.8773352,164.68696,-0.03337,-0.04486,-0.03374,0.00203,0.00146,0.00664,0.017,-0.275,0.014,repro
20010325,120000,51993.5,-2485778.318,-3284087.067,4853826.813,0.00358,0.00443,0.00541,0.834,-0.782,-0.824,49.87305323,232.8773352,164.686,-0.0337,-0.04681,-0.0347,0.00225,0.0016,0.00736,0.035,-0.263,-0.025,repro
20010326,120000,51994.5,-2485778.318,-3284087.07,4853826.815,0.00341,0.00428,0.00514,0.825,-0.773,-0.817,49.87305322,232.8773352,164.68964,-0.03462,-0.04517,-0.03107,0.00219,0.00157,0.007,0.021,-0.271,0,repro
20010327,120000,51995.5,-2485778.316,-3284087.069,4853826.816,0.00306,0.0038,0.0046,0.827,-0.779,-0.819,49.87305324,232.8773352,164.68823,-0.0323,-0.04417,-0.03247,0.00194,0.0014,0.00626,0.022,-0.272,-0.024,repro
20010329,120000,51997.5,-2485778.318,-3284087.073,4853826.82,0.00301,0.0038,0.00455,0.827,-0.781,-0.829,49.87305323,232.8773353,164.69449,-0.0337,-0.04278,-0.02622,0.00189,0.00138,0.00623,0.024,-0.284,0.012,repro
20010330,120000,51998.5,-2485778.319,-3284087.074,4853826.818,0.00309,0.00382,0.00477,0.822,-0.775,-0.827,49.87305321,232.8773353,164.69382,-0.0353,-0.04341,-0.02688,0.00193,0.00143,0.00641,0.056,-0.221,-0.019,repro
20010331,120000,51999.5,-2485778.32,-3284087.072,4853826.816,0.00455,0.00558,0.00644,0.838,-0.799,-0.834,49.8730532,232.8773352,164.69197,-0.03604,-0.0452,-0.02874,0.00276,0.00201,0.00904,0.035,-0.373,-0.051,repro
20010401,120000,52000.5,-2485778.321,-3284087.076,4853826.819,0.0031,0.00388,0.00465,0.826,-0.778,-0.828,49.87305319,232.8773353,164.69649,-0.0371,-0.0439,-0.02421,0.00194,0.00142,0.00636,0.036,-0.287,0.002,repro
20010402,120000,52001.5,-2485778.32,-3284087.073,4853826.818,0.00315,0.00389,0.0047,0.817,-0.773,-0.824,49.87305321,232.8773352,164.6935,-0.03517,-0.04444,-0.02721,0.00197,0.00148,0.00641,0.047,-0.274,-0.016,repro
20010404,120000,52003.5,-2485778.319,-3284087.074,4853826.818,0.0029,0.00363,0.00437,0.823,-0.778,-0.832,49.87305321,232.8773353,164.69401,-0.03511,-0.0433,-0.02669,0.0018,0.00134,0.00597,0.046,-0.283,0.005,repro
20010405,120000,52004.5,-2485778.319,-3284087.072,4853826.817,0.00314,0.00392,0.00476,0.824,-0.776,-0.83,49.87305322,232.8773352,164.69239,-0.03458,-0.04486,-0.02832,0.00196,0.00145,0.00647,0.051,-0.268,-0.002,repro
20010406,120000,52005.5,-2485778.318,-3284087.072,4853826.817,0.00317,0.004,0.00482,0.832,-0.791,-0.835,49.87305322,232.8773353,164.69158,-0.03435,-0.04386,-0.02912,0.00195,0.00144,0.00659,0.017,-0.284,0.005,repro
20010407,120000,52006.5,-2485778.319,-3284087.073,4853826.819,0.00298,0.00385,0.00465,0.829,-0.786,-0.834,49.87305322,232.8773352,164.69465,-0.03457,-0.04405,-0.02605,0.00187,0.00138,0.00632,-0.001,-0.264,0.048,repro
20010408,120000,52007.5,-2485778.317,-3284087.072,4853826.817,0.00323,0.00408,0.00482,0.836,-0.789,-0.838,49.87305323,232.8773353,164.69152,-0.03363,-0.04329,-0.02919,0.00199,0.00145,0.00665,0.033,-0.319,0.012,repro
20010409,120000,52008.5,-2485778.316,-3284087.072,4853826.816,0.0032,0.00411,0.00478,0.836,-0.793,-0.843,49.87305322,232.8773353,164.69016,-0.03401,-0.04247,-0.03054,0.00197,0.00144,0.00664,0.017,-0.339,0.04,repro
20010410,120000,52009.5,-2485778.321,-3284087.077,4853826.822,0.00332,0.00423,0.005,0.827,-0.786,-0.837,49.87305321,232.8773353,164.69935,-0.03581,-0.04274,-0.02136,0.00205,0.00153,0.00688,0.021,-0.308,0.028,repro
